phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,1146.95,1626.26,1350.70,1800.23,1800.23,1800.3
reverse_retrieve,8,885.43,1364.84,1089.18,1539.33,1539.33,1539.4
