phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,32,51.13,96.22,54.33,99.55,99.55,99.6
replay,32,4.16,6.67,4.34,6.88,6.98,7.1
