phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,6,71.35,107.51,71.68,107.83,107.83,107.8
reverse_retrieve,6,34.17,70.46,34.50,70.79,70.79,70.8
