phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,3.27,4.40,3.43,4.61,4.61,4.6
reverse_retrieve,8,2.27,3.42,2.43,3.58,3.58,3.6
