phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,32,981.28,2082.15,1221.43,2250.55,2250.55,2250.6
reverse_retrieve,32,959.94,1662.27,1170.92,1890.55,1918.58,1918.6
kv_r: 13 ops, 5.93 GiB, busy 825.5 s
kv_w: 30 ops, 20.59 GiB, busy 1101.0 s
