phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,15.29,20.52,15.45,20.68,20.68,20.7
reverse_retrieve,8,0.81,1.32,1.05,1.47,1.47,1.5
