procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 KST
 6  0       555280     96029192      1025704     25205760    2    3 15725   569    1    0   1   1  96   3   0 2026-09-19 01:56:16
 3  0       555280     95880544      1025704     25205828    0    0     0     0 2936 3771   5   1  94   0   0 2026-09-19 01:56:17
 3  0       555280     95860192      1025712     25206080    0    0     0    60 3000 3896   5   1  94   0   0 2026-09-19 01:56:18
 3  0       555280     95681280      1025712     25206096    0    0     0     0 5304 70293   7   8  85   0   0 2026-09-19 01:56:19
 2  0       555280     95664528      1025712     25206092    0    0     0   528 3015 3951   3   1  96   0   0 2026-09-19 01:56:20
 3  0       555280     95646240      1025720     25206112    0    0     0    88 2545 3488   3   1  97   0   0 2026-09-19 01:56:21
 2  0       555280     95624608      1025720     25206348    0    0     0     0 2708 3764   3   1  96   0   0 2026-09-19 01:56:22
 2  0       555280     95524648      1025720     25206372    0    0     0     0 2452 3547   1   1  98   0   0 2026-09-19 01:56:23
 1  0       555280     95364904      1025720     25206400    0    0     0     0 2097 3099   3   0  97   0   0 2026-09-19 01:56:24
 1  0       555280     95308688      1025720     25206424    0    0     0   440 2483 3545   4   1  96   0   0 2026-09-19 01:56:25
 3  0       555280     94993632      1025736     25206456    0    0     0   160 3200 3825   3   1  95   0   0 2026-09-19 01:56:26
 3  0       555280     94690288      1025736     25216720    0    0     0     0 6845 5888  17   1  82   0   0 2026-09-19 01:56:27
 1  0       555280     95094008      1025736     25253604    0    0     0     0 5511 6100   6   1  93   0   0 2026-09-19 01:56:28
 0  0       555280     95107208      1025736     25253216    0    0     0     4 2882 4755   3   0  97   0   0 2026-09-19 01:56:29
18  1       555280     95075680      1025736     25253224    0    0     0    88 5475 6535  21   5  74   0   0 2026-09-19 01:56:30
 1  0       555280     95171512      1025736     25253268    0    0     0   612 5507 7040  24   4  72   0   0 2026-09-19 01:56:31
 1  0       555280     95056848      1025736     25253280    0    0     0     0 3262 4785   3   0  97   0   0 2026-09-19 01:56:32
 2  0       555280     95004024      1025736     25253296    0    0     0     0 3583 5037   3   0  97   0   0 2026-09-19 01:56:33
 1  0       555280     94375360      1025736     25777496    0    0     0     0 3471 5347   4   1  95   0   0 2026-09-19 01:56:34
 0  0       555280     94399824      1025736     25777660    0    0     0     0 7850 11983   2   1  97   0   0 2026-09-19 01:56:35
 1  0       555280     94310368      1025744     25777664    0    0     0   500 7029 12900   1   0  99   0   0 2026-09-19 01:56:36
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
