phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,32,1285.31,2225.07,1456.54,2357.44,2357.44,2357.5
reverse_retrieve,32,927.85,1418.29,1082.97,1550.89,1728.20,1728.3
kv_r: 30 ops, 20.96 GiB, busy 316.4 s
kv_w: 52 ops, 20.55 GiB, busy 1818.3 s
