phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,28,261.68,471.88,279.32,489.52,489.55,489.6
reverse_retrieve,28,225.73,437.12,243.38,454.89,454.92,455.0
