phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,64.82,82.53,78.04,96.07,107.40,107.4
reverse_retrieve,24,33.55,81.70,44.92,91.17,91.17,91.2
