phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,32,297.88,544.94,315.65,562.71,562.75,562.8
replay,32,5.24,9.37,5.57,9.69,9.84,9.9
