k,doc,category,occ,ttft_s,matched,ssd_read_ios,write_ios,cached
0,37,one_shot,0,1.0817,0,0,2,0
1,63,repeated,0,1.0478,0,0,4,16
2,45,one_shot,0,1.0779,0,0,1,16
3,55,repeated,0,1.1389,0,0,5,16
4,31,repeated,0,1.0548,0,0,1,16
5,0,far_reuse,0,1.1113,0,0,5,16
6,39,far_reuse,0,1.0555,0,0,1,16
7,29,one_shot,0,1.1098,0,0,5,16
8,4,near_reuse,0,1.0895,0,0,1,16
9,43,repeated,0,1.1187,0,0,5,16
10,42,one_shot,0,1.1034,0,0,1,16
11,30,repeated,0,1.1038,0,0,6,16
12,52,far_reuse,0,1.104,0,0,0,16
13,55,repeated,1,1.0831,0,0,6,272
14,62,far_reuse,0,1.0624,0,0,0,16
15,15,near_reuse,0,1.1203,0,0,6,16
16,33,far_reuse,0,1.0887,0,0,0,16
17,4,near_reuse,1,0.0801,0,0,2,1920
18,48,near_reuse,0,1.0878,0,0,4,16
19,22,repeated,0,1.1594,0,0,0,16
20,21,one_shot,0,1.0628,0,0,6,16
21,60,one_shot,0,1.0625,0,0,0,16
22,6,one_shot,0,1.0896,0,0,6,16
23,19,near_reuse,0,1.0893,0,0,0,16
24,15,near_reuse,1,0.0812,0,0,2,1936
25,3,one_shot,0,1.0874,0,0,4,16
26,63,repeated,1,1.1611,0,0,0,16
27,8,near_reuse,0,1.1344,0,0,6,16
28,31,repeated,1,1.2284,304,5,0,320
29,48,near_reuse,1,1.0877,0,0,6,16
30,34,repeated,0,1.0897,0,0,0,16
31,24,far_reuse,0,1.1055,0,0,6,16
32,35,far_reuse,0,1.0637,0,0,0,16
33,14,near_reuse,0,1.1354,0,0,6,16
34,9,repeated,0,1.0899,0,0,0,16
35,43,repeated,1,1.1064,0,0,6,16
36,22,repeated,1,1.2793,368,6,0,384
37,30,repeated,1,1.1159,0,0,6,16
38,19,near_reuse,1,1.1594,368,6,0,384
39,2,near_reuse,0,1.1022,0,0,6,16
40,26,near_reuse,0,1.0868,0,0,0,16
41,8,near_reuse,1,1.0886,0,0,6,16
42,5,repeated,0,1.0581,0,0,0,16
43,25,repeated,0,1.0604,0,0,6,16
44,53,far_reuse,0,1.0591,0,0,0,16
45,27,one_shot,0,1.1167,0,0,6,16
46,14,near_reuse,1,1.116,0,0,2,16
47,58,repeated,0,1.1052,0,0,6,16
48,31,repeated,2,1.149,688,11,0,704
49,23,repeated,0,1.0872,0,0,6,16
50,2,near_reuse,1,1.1156,0,0,0,16
51,38,far_reuse,0,1.1029,0,0,6,16
52,26,near_reuse,1,1.2106,368,6,0,384
53,20,repeated,0,1.0862,0,0,6,16
54,28,far_reuse,0,1.1154,0,0,0,16
55,41,repeated,0,1.1163,0,0,6,16
56,11,one_shot,0,1.0597,0,0,0,16
57,16,one_shot,0,1.1023,0,0,6,16
58,34,repeated,1,1.1139,368,6,0,384
59,30,repeated,2,1.114,0,0,6,16
60,10,near_reuse,0,1.1012,0,0,0,16
61,59,near_reuse,0,1.0875,0,0,6,16
62,0,far_reuse,1,1.1146,0,0,0,16
63,13,far_reuse,0,1.1299,0,0,6,16
64,39,far_reuse,1,1.1877,304,5,0,320
65,50,one_shot,0,1.1597,0,0,6,16
66,20,repeated,1,1.0602,0,0,0,16
67,49,far_reuse,0,1.0622,0,0,6,16
68,54,near_reuse,0,1.0871,0,0,0,16
69,46,near_reuse,0,1.0614,0,0,6,16
70,5,repeated,1,1.1603,368,6,0,384
71,40,near_reuse,0,1.0748,0,0,6,32
72,25,repeated,1,1.06,0,0,0,16
73,10,near_reuse,1,1.7211,368,6,6,384
74,17,repeated,0,1.0844,0,0,6,16
