phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,64.01,81.59,77.18,94.73,106.13,106.1
reverse_retrieve,24,37.64,95.42,52.21,106.63,108.20,108.2
kv_r: 17 ops, 0.31 GiB, busy 35.3 s
kv_w: 22 ops, 1.50 GiB, busy 52.1 s
