phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,63.12,80.34,75.95,93.29,104.62,104.6
reverse_retrieve,24,32.37,78.76,43.14,87.94,87.94,88.0
