Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
68816079735,68914804084,98724349,98640785,83564,:weight_ssd_read layer062/self_attn.qkv_proj.weight.bin 160MiB,1246522,1258195,0,1,3923,,:3923,:weight_ssd_read layer062/self_attn.qkv_proj.weight.bin 160MiB
68816129380,68914770165,98640785,98568329,72456,:cuFileRead,1246522,1258195,1,1,3926,3923,:3923:3926,--:cuFileRead
68816159954,68970975926,154815972,154747597,68375,:weight_ssd_read layer062/self_attn.o_proj.weight.bin 128MiB,1246522,1258197,0,1,3927,,:3927,:weight_ssd_read layer062/self_attn.o_proj.weight.bin 128MiB
68816186006,68970933603,154747597,80507040,74240557,:cuFileRead,1246522,1258197,1,1,3930,3927,:3927:3930,--:cuFileRead
68816194246,68914762575,98568329,0,98568329,:cuFileHandleNVFS,1246522,1258195,2,0,3933,3926,:3923:3926:3933,----:cuFileHandleNVFS
68816224484,68914034923,97810439,0,97810439,:cuFileHandleNVFS,1246522,1247446,0,0,3936,,:3936,:cuFileHandleNVFS
68816232050,68896739090,80507040,0,80507040,:cuFileHandleNVFS,1246522,1258197,2,0,3939,3930,:3927:3930:3939,----:cuFileHandleNVFS
68816243182,68914471071,98227889,0,98227889,:cuFileHandleNVFS,1246522,1247445,0,0,3942,,:3942,:cuFileHandleNVFS
68816284465,68913096345,96811880,0,96811880,:cuFileHandleNVFS,1246522,1247447,0,0,3945,,:3945,:cuFileHandleNVFS
68816310085,68897419883,81109798,0,81109798,:cuFileHandleNVFS,1246522,1247444,0,0,3948,,:3948,:cuFileHandleNVFS
68816443391,69321849513,505406122,505311605,94517,:weight_ssd_read layer062/mlp.gate_up_proj.weight.bin 924MiB,1246522,1258194,0,1,3949,,:3949,:weight_ssd_read layer062/mlp.gate_up_proj.weight.bin 924MiB
68816479955,69321791560,505311605,398787717,106523888,:cuFileRead,1246522,1258194,1,1,3952,3949,:3949:3952,--:cuFileRead
68816518162,69215305879,398787717,0,398787717,:cuFileHandleNVFS,1246522,1258194,2,0,3955,3952,:3949:3952:3955,----:cuFileHandleNVFS
68816537428,69377902024,561364596,561301617,62979,:weight_ssd_read layer062/mlp.down_proj.weight.bin 462MiB,1246522,1258196,0,1,3956,,:3956,:weight_ssd_read layer062/mlp.down_proj.weight.bin 462MiB
68816565957,69377867574,561301617,232982607,328319010,:cuFileRead,1246522,1258196,1,1,3959,3956,:3956:3959,--:cuFileRead
68816595470,69049578077,232982607,0,232982607,:cuFileHandleNVFS,1246522,1258196,2,0,3962,3959,:3956:3959:3962,----:cuFileHandleNVFS
68897449253,68954943768,57494515,0,57494515,:cuFileHandleNVFS,1246522,1247444,0,0,3965,,:3965,:cuFileHandleNVFS
68913130937,68970896851,57765914,0,57765914,:cuFileHandleNVFS,1246522,1247447,0,0,3968,,:3968,:cuFileHandleNVFS
68914055675,69262305951,348250276,0,348250276,:cuFileHandleNVFS,1246522,1247446,0,0,3971,,:3971,:cuFileHandleNVFS
68914500983,69262037610,347536627,0,347536627,:cuFileHandleNVFS,1246522,1247445,0,0,3974,,:3974,:cuFileHandleNVFS
