Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.0,137086456490,215,637611425.5,147437812.0,7119,2528258320,724952107.1,cudaEventSynchronize
9.0,14656154087,314484,46603.8,44268.0,4979,83092544,478193.4,cuMemcpyPeerAsync
4.7,7610003479,314484,24198.4,10906.0,1396,22814126,84609.2,cuStreamSynchronize
1.3,2061803178,3961,520525.9,22974.0,5975,1906675900,30300071.0,cudaLaunchKernel
0.7,1203276931,1287,934947.1,1957.0,575,1200494171,33463395.0,cuKernelGetFunction
0.2,341655405,5,68331081.0,1063935.0,1043794,337383225,150404722.3,cudaFree
0.0,59010240,3770,15652.6,10887.5,3218,4151990,68388.3,cudaMemcpyAsync
0.0,44808716,1608,27866.1,27517.0,6696,275644,14260.0,cuLaunchKernelEx
0.0,33977941,5,6795588.2,78890.0,67140,33674854,15025968.3,cudaHostAlloc
0.0,26565198,1287,20641.2,18576.0,5629,277732,14667.6,cuLaunchKernel
0.0,19466610,968,20110.1,18959.0,8013,83724,6196.6,cudaMemsetAsync
0.0,15264607,8070,1891.5,1364.0,268,27566,1830.8,cudaStreamIsCapturing_v10000
0.0,9258482,4,2314620.5,444971.5,215060,8153479,3897201.4,cudaMalloc
0.0,9201885,1288,7144.3,6013.0,2181,230758,7020.7,cudaStreamWaitEvent
0.0,7394922,1310,5645.0,5190.0,1474,62407,2864.7,cudaEventRecordWithFlags_v11010
0.0,3978653,654,6083.6,3248.5,1038,1155128,45057.5,cudaEventDestroy
0.0,3754668,657,5714.9,5477.0,2102,68478,3073.1,cudaEventCreateWithFlags
0.0,800594,4,200148.5,196488.0,133763,273855,75234.3,cuModuleLoadData
0.0,53836,6,8972.7,8982.5,7737,10301,944.7,cudaEventQuery
0.0,26726,1,26726.0,26726.0,26726,26726,0.0,cuProfilerStart
0.0,4717,1,4717.0,4717.0,4717,4717,0.0,cuLibraryGetKernel
