phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,16.56,21.62,16.72,21.78,21.78,21.8
reverse_retrieve,8,0.85,1.38,1.09,1.54,1.54,1.5
kv_r: 6 ops, 0.78 GiB, busy 0.4 s
kv_w: 16 ops, 1.12 GiB, busy 35.3 s
