phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,31.09,42.04,31.29,42.26,42.26,42.3
reverse_retrieve,8,2.52,3.36,2.85,3.54,3.54,3.5
