phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,14.99,20.03,15.16,20.20,20.20,20.2
reverse_retrieve,8,9.96,15.05,10.12,15.23,15.23,15.2
