phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,2,33.74,33.74,34.03,34.03,34.03,34.0
reverse_retrieve,2,0.19,0.19,0.51,0.51,0.51,0.5
