phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,3.32,4.46,3.48,4.62,4.62,4.6
reverse_retrieve,8,0.98,1.32,1.16,1.45,1.45,1.5
