tag,runner,design,block,i,chat_id,turn,prompt_tokens,ttft_s,cpu_s,matched_tokens,cached_tokens,ssd_read_ios,ssd_read_bytes,store_ios,store_bytes
v2-D-b64,v2,D,64,0,0,1,1008,0.3569,0.3681,0,0,0,0,9,188743680
v2-D-b64,v2,D,64,1,1,1,2032,1.2746,17.6364,0,16,0,0,16,335544320
v2-D-b64,v2,D,64,2,2,1,2032,3.2334,18.5511,0,16,0,0,31,650117120
v2-D-b64,v2,D,64,3,3,1,2032,2.6708,17.5429,0,112,0,0,31,650117120
v2-D-b64,v2,D,64,4,4,1,2032,1.1436,0.8849,0,0,0,0,30,629145600
v2-D-b64,v2,D,64,5,5,1,368,0.069,0.0821,0,112,0,0,0,0
v2-D-b64,v2,D,64,6,6,1,160,0.0525,0.0886,0,16,0,0,0,0
v2-D-b64,v2,D,64,7,7,1,1792,1.0878,13.8226,0,16,0,0,37,775946240
v2-D-b64,v2,D,64,8,8,1,2032,2.6049,17.378,0,112,0,0,28,587202560
v2-D-b64,v2,D,64,9,9,1,1872,2.6071,14.8221,0,112,0,0,30,629145600
v2-D-b64,v2,D,64,10,10,1,2032,1.1497,1.2058,0,16,0,0,28,587202560
v2-D-b64,v2,D,64,11,11,1,1056,0.6257,5.0087,0,112,0,0,30,629145600
v2-D-b64,v2,D,64,12,12,1,2032,1.0879,9.2488,0,288,0,0,16,335544320
v2-D-b64,v2,D,64,13,13,1,48,0.0263,0.0347,0,16,0,0,0,0
v2-D-b64,v2,D,64,14,14,1,48,0.0279,0.0323,0,0,0,0,0,0
v2-D-b64,v2,D,64,15,15,1,176,0.048,0.0542,0,0,0,0,0,0
v2-D-b64,v2,D,64,16,16,1,2032,2.3751,1.0621,0,2016,0,0,13,272629760
v2-D-b64,v2,D,64,17,17,1,208,0.0526,0.0805,0,16,0,0,3,62914560
v2-D-b64,v2,D,64,18,18,1,2032,1.346,17.3902,0,112,0,0,16,335544320
v2-D-b64,v2,D,64,19,19,1,288,0.0652,0.0424,0,16,0,0,0,0
v2-D-b64,v2,D,64,20,20,1,448,2.8486,1.5197,0,112,0,0,24,503316480
v2-D-b64,v2,D,64,21,21,1,1184,0.8934,6.4144,0,112,0,0,16,335544320
v2-D-b64,v2,D,64,22,22,1,2032,2.5854,17.8196,0,112,0,0,17,356515840
v2-D-b64,v2,D,64,23,23,1,2032,1.1483,0.4946,0,16,0,0,1,20971520
v2-D-b64,v2,D,64,24,24,1,2032,4.9036,19.2693,0,112,0,0,60,1258291200
v2-D-b64,v2,D,64,25,25,1,48,0.0259,0.032,0,16,0,0,0,0
v2-D-b64,v2,D,64,26,26,1,2032,3.0737,4.2146,1696,1984,27,555745280,14,293601280
v2-D-b64,v2,D,64,27,27,1,1920,1.0401,16.0631,0,16,0,0,16,335544320
v2-D-b64,v2,D,64,28,28,1,960,2.8923,5.1039,0,112,0,0,28,587202560
v2-D-b64,v2,D,64,29,29,1,2032,2.2934,17.643,0,112,0,0,16,335544320
v2-D-b64,v2,D,64,30,30,1,2032,0.0576,0.0396,0,2016,0,0,0,0
v2-D-b64,v2,D,64,31,31,1,928,2.8722,4.2403,0,112,0,0,27,566231040
