phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
prefill,155,29.45,45.71,30.30,46.55,46.83,47.0
stream,200,1.20,6.13,2.86,8.73,14.62,239.1
