phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,15.21,20.31,15.37,20.48,20.48,20.5
reverse_retrieve,8,0.82,1.34,1.06,1.49,1.49,1.5
kv_r: 6 ops, 0.78 GiB, busy 0.2 s
kv_w: 16 ops, 1.12 GiB, busy 30.7 s
