phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,63.58,81.27,76.93,94.45,105.49,105.5
reverse_retrieve,24,37.07,89.63,48.31,99.04,99.04,99.1
