t_s,backlog,inflight,kvroot_b,disk_free_b
184.2,0,65,28831745894,288843051008
185.3,0,65,29268215653,288385617920
186.4,0,65,29557884773,288093024256
187.4,0,65,29858203493,287792230400
188.5,0,65,30145906533,287505756160
189.5,0,65,30398875493,287246700544
190.6,0,65,30625138533,287018532864
191.6,0,65,30885152613,286762962944
192.7,0,65,31146805093,286502301696
193.7,0,65,31393875813,286248706048
194.7,5,79,31562139493,286082564096
195.8,5,79,31562139493,286082564096
196.8,5,79,31562139493,286082564096
197.9,5,79,31562139493,286082564096
198.9,5,79,31562139493,286082564096
200.0,6,84,31562139493,286082564096
201.1,6,87,31562139493,286082564096
202.2,3,83,31579015013,286070816768
203.2,3,83,31846074213,285803040768
204.3,3,83,32377079653,285368905728
205.4,3,83,33075365733,284567830528
206.4,3,83,33346684773,284297183232
207.5,1,82,33563608933,284086906880
208.5,1,82,33815431013,283828240384
209.6,1,82,34053326693,283594473472
210.6,1,81,34099693413,283543683072
211.9,2,81,34099693413,283543678976
213.0,1,79,34099693413,283543678976
214.0,1,79,34099693413,283543678976
215.1,1,79,34176698213,283470413824
216.1,1,79,34387068773,283258732544
217.2,1,79,34630371173,283017867264
218.3,1,79,34837956453,282802917376
219.3,1,79,35086174053,282556882944
220.4,1,79,35321939813,282321330176
221.4,1,79,35553445733,282088562688
222.5,1,79,35800844133,281840865280
223.5,1,79,36029073253,281613266944
224.6,4,79,36029073253,281613266944
225.7,4,79,36029073253,281613266944
226.7,4,79,36029073253,281613266944
227.8,1,77,36043655013,281607999488
228.8,1,77,36296787813,281352572928
229.9,1,77,36995401573,280807632896
231.0,1,77,37525751654,280117547008
232.1,1,77,37835573093,279809056768
233.2,3,77,37916510053,279724838912
234.3,3,77,37916510053,279724838912
235.3,3,77,37916510053,279724838912
236.4,1,77,38202083173,279440973824
237.5,1,77,38480611173,279160381440
238.5,1,77,38761596773,278880460800
239.6,1,77,39024068453,278614065152
240.6,1,77,39174801253,278465921024
242.1,1,75,39174801253,278465921024
243.2,1,74,39174801253,278465921024
244.3,2,72,39174801253,278465921024
245.4,2,71,39174801253,278465921024
246.6,3,69,39174801253,278465921024
247.8,3,68,39174801253,278465921024
248.9,1,67,39298172773,278347280384
250.0,1,67,39516079973,278133796864
251.1,1,67,39798376293,277847904256
252.1,1,66,39824918373,277815463936
253.2,1,66,39824918373,277815463936
254.3,0,66,40054949733,277592309760
255.3,0,66,40304314213,277341974528
256.4,2,65,40454063973,277185998848
257.4,2,64,40454063973,277185998848
