08:24:42 b-kv5.5-cufile avail=12737M free=867M cached=12591M anon=110271M mapped=731M shmem=271M unevict=0M slab=1748M psi_some=0.00 psi_full=0.00
08:24:52 b-kv5.5-cufile avail=12695M free=826M cached=12591M anon=110331M mapped=732M shmem=271M unevict=0M slab=1748M psi_some=0.36 psi_full=0.36
08:25:02 b-kv5.5-cufile avail=12680M free=808M cached=12593M anon=110337M mapped=733M shmem=271M unevict=0M slab=1748M psi_some=0.13 psi_full=0.13
08:25:13 b-kv5.5-cufile avail=12674M free=802M cached=12593M anon=110336M mapped=733M shmem=271M unevict=0M slab=1748M psi_some=0.04 psi_full=0.04
08:25:23 b-kv5.5-cufile avail=12672M free=800M cached=12593M anon=110336M mapped=733M shmem=271M unevict=0M slab=1748M psi_some=0.01 psi_full=0.01
08:25:33 b-kv5.5-cufile avail=12655M free=782M cached=12594M anon=110354M mapped=734M shmem=271M unevict=0M slab=1749M psi_some=0.00 psi_full=0.00
08:25:43 b-kv5.5-cufile avail=12651M free=778M cached=12594M anon=110354M mapped=733M shmem=271M unevict=0M slab=1749M psi_some=0.00 psi_full=0.00
08:25:54 b-kv5.5-cufile avail=12646M free=772M cached=12594M anon=110353M mapped=734M shmem=271M unevict=0M slab=1749M psi_some=0.00 psi_full=0.00
08:26:04 b-kv5.5-cufile avail=12647M free=774M cached=12594M anon=110353M mapped=734M shmem=271M unevict=0M slab=1749M psi_some=0.00 psi_full=0.00
08:26:14 b-kv5.5-cufile avail=12646M free=772M cached=12594M anon=110354M mapped=734M shmem=271M unevict=0M slab=1749M psi_some=0.00 psi_full=0.00
08:26:24 b-kv5.5-cufile avail=12641M free=767M cached=12594M anon=110353M mapped=734M shmem=271M unevict=0M slab=1749M psi_some=0.00 psi_full=0.00
08:26:35 b-kv5.5-cufile avail=12638M free=764M cached=12595M anon=110354M mapped=734M shmem=271M unevict=0M slab=1749M psi_some=0.00 psi_full=0.00
08:26:45 b-kv5.5-cufile avail=12641M free=767M cached=12595M anon=110353M mapped=734M shmem=271M unevict=0M slab=1749M psi_some=0.00 psi_full=0.00
