phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,15.18,20.27,15.34,20.42,20.42,20.4
reverse_retrieve,8,0.81,1.31,1.06,1.47,1.47,1.5
