phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,64.16,81.89,77.49,95.25,106.42,106.4
reverse_retrieve,24,36.70,126.18,51.11,135.63,135.63,135.7
