phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,64.76,82.52,78.02,96.00,107.39,107.4
reverse_retrieve,24,34.00,82.46,45.37,92.11,92.11,92.1
kv_r: 19 ops, 1.27 GiB, busy 30.1 s
kv_w: 22 ops, 1.50 GiB, busy 51.8 s
