phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,14.92,19.96,15.08,20.13,20.13,20.1
reverse_retrieve,8,9.93,15.03,10.11,15.19,15.19,15.2
