phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,63.79,81.53,77.15,94.74,105.96,106.0
reverse_retrieve,24,37.38,90.27,48.49,99.87,99.88,99.9
