phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,32,48.73,92.44,51.85,95.68,95.72,95.7
replay,32,9.23,13.55,9.76,13.70,13.83,13.9
