phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,15.12,20.98,15.28,21.14,21.14,21.1
reverse_retrieve,8,0.86,1.39,1.09,1.54,1.54,1.6
kv_r: 6 ops, 0.78 GiB, busy 0.4 s
kv_w: 16 ops, 1.12 GiB, busy 34.0 s
