Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
89.5,21632,8,2704.0,608.0,352,7648,3235.8,[CUDA memcpy Host-to-Device]
10.5,2528,2,1264.0,1264.0,1248,1280,22.6,[CUDA memcpy Device-to-Device]
