Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
41.5,1526957922101,10096,151243851.2,80449035.5,3148304,1260666962,148254670.3,PushPop,:cuFileHandleNVFS
19.8,727743002842,1,727743002842.0,727743002842.0,727743002842,727743002842,0.0,PushPop,:phase:cold_fill
19.8,726538506434,12,60544875536.2,29761225641.5,28371433410,124234287623,46204479873.6,PushPop,:step:cold_fill
17.4,640435691970,2016,317676434.5,440225567.0,53417876,1401934486,223257809.1,PushPop,:cuFileRead
0.9,33548093061,2032,16509888.3,8519891.0,3429769,1194134444,88613176.9,PushPop,:kv_store_file
0.5,19664446259,2032,9677385.0,8203608.5,3170657,153016672,7423249.0,PushPop,:cuFileWrite
0.0,122264712,2032,60169.6,58755.0,23591,1410739,38674.2,PushPop,:cuFileHandleRegister
0.0,10410587,2032,5123.3,5169.0,2720,15471,1060.0,PushPop,:cuFileHandleDeregister
