Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.8,971720741,3,323906913.7,1097598.0,1054377,969568766,559159566.8,cudaFree
3.6,36625833,15,2441722.2,28131.0,12488,20265648,6220228.9,cudaLaunchKernel
1.0,10367521,6,1727920.2,210412.0,123652,9303158,3712110.6,cudaMalloc
0.3,2793312,1,2793312.0,2793312.0,2793312,2793312,0.0,cuModuleLoadData
0.2,1960878,11,178261.6,126976.0,112470,489551,109343.6,cuMemHostUnregister
0.1,568710,1,568710.0,568710.0,568710,568710,0.0,cudaEventSynchronize
0.0,464697,7,66385.3,21621.0,13821,148932,62450.2,cuMemFree_v2
0.0,301110,10,30111.0,13627.0,4627,167337,48932.7,cudaMemcpyAsync
0.0,85339,7,12191.3,9078.0,7993,31388,8512.4,cuStreamDestroy_v2
0.0,57662,3,19220.7,22581.0,11911,23170,6337.2,cuLaunchKernelEx
0.0,42226,17,2483.9,1765.0,497,10823,2440.0,cudaStreamIsCapturing_v10000
0.0,33454,1,33454.0,33454.0,33454,33454,0.0,cudaMemGetInfo
0.0,29816,32,931.8,761.5,577,3952,588.1,cudaGetDriverEntryPointByVersion_v12050
0.0,27437,1,27437.0,27437.0,27437,27437,0.0,cuProfilerStart
0.0,9841,1,9841.0,9841.0,9841,9841,0.0,cudaEventRecordWithFlags_v11010
0.0,7947,1,7947.0,7947.0,7947,7947,0.0,cudaStreamWaitEvent
