t_s,backlog,inflight,kvroot_b,disk_free_b
185.4,0,5,31929141093,280441094144
186.5,0,6,32185059173,280190742528
187.5,0,7,32410175333,279969124352
188.6,0,7,32649873253,279728594944
189.6,0,3,32927418213,279454908416
190.8,0,2,33223313253,279161802752
191.9,0,3,33501513573,278876225536
192.9,0,3,33770538853,278603653120
194.0,0,3,34073151333,278305288192
195.0,0,3,34290567013,278078406656
196.1,0,3,34524366694,277845479424
197.2,0,3,34769635173,277600391168
198.2,0,3,34986067813,277384658944
199.3,0,3,35210692453,277159059456
200.3,0,6,35378956133,276993417216
201.4,0,7,35412215653,276957433856
202.4,0,7,35638806373,276731932672
203.5,0,7,35901114213,276468969472
204.5,0,7,36036282213,276342968320
205.6,0,9,36297770854,276074749952
206.8,0,9,36553197413,275815735296
207.8,0,9,36818126693,275558846464
208.9,0,10,37077157733,275303743488
210.0,0,10,37317511013,275059335168
211.0,0,10,37546723173,274829062144
212.1,0,10,37783799653,274590838784
213.1,0,10,38006294373,274366119936
214.2,0,10,38235670373,274132488192
215.2,0,10,38486181735,273890729984
216.3,0,10,38755698533,273625202688
217.4,0,10,38990481253,273384693760
218.4,0,10,39199541094,273174552576
219.5,0,10,39454967653,272922480640
220.6,0,10,39679264613,272696238080
221.6,0,14,39803946853,272566149120
222.7,0,14,39865223013,272502919168
223.7,0,14,40096237414,272273784832
224.8,0,14,40334952293,272033697792
225.8,0,14,40433092453,271936684032
226.9,0,13,40433092453,271936684032
228.1,0,11,40433092453,271936684032
229.4,0,9,40454063973,271915704320
230.6,0,7,40454063973,271915704320
231.9,0,10,40475035493,271894724608
233.0,0,9,40496007013,271873748992
234.1,0,8,40516978533,271852773376
235.2,0,4,40516978533,271852773376
236.3,0,4,40516978533,271852773376
237.5,0,3,40516978533,271852773376
238.6,0,1,40516978533,271852773376
240.0,0,0,40516978533,271852773376
241.0,0,0,40516978533,271852773376
242.1,0,0,40516978533,271852773376
243.1,0,0,40516978533,271852773376
244.2,0,0,40516978533,271852773376
245.3,0,0,40516978533,271852773376
246.3,0,0,40516978533,271852773376
247.4,0,0,40516978533,271852773376
248.4,0,0,40516978533,271852773376
249.5,0,0,40516978533,271852773376
250.5,0,0,40516978533,271852773376
251.6,0,0,40516978533,271852773376
253.6,0,0,40537950053,271831797760
254.6,0,0,40537950053,271831797760
255.7,0,0,40537950053,271831797760
256.7,0,1,40537950053,271831797760
258.1,0,1,40537950053,271831797760
259.4,0,1,40537950053,271831797760
261.0,0,0,40537950053,271831797760
262.0,0,0,40537950053,271831797760
263.1,0,0,40537950053,271831797760
264.2,0,0,40537950053,271831797760
265.2,0,0,40537950053,271831797760
266.3,0,1,40537950053,271831797760
267.7,0,1,40537950053,271831797760
269.1,0,0,40537950053,271831797760
270.1,0,0,40537950053,271831797760
271.2,0,1,40537950053,271831797760
273.0,0,4,40558921573,271810818048
274.5,0,5,40600864613,271768858624
275.9,0,3,40621836133,271747878912
277.0,0,2,40621836133,271747878912
278.2,0,3,40621836133,271747878912
279.6,0,0,40642807653,271726895104
280.6,0,1,40642807653,271726895104
281.9,0,1,40642807653,271726895104
283.1,0,1,40642807653,271726895104
284.4,0,3,40642807653,271726891008
285.6,0,2,40642807653,271726891008
286.9,0,1,40642807653,271726891008
288.1,0,1,40642807653,271726886912
289.9,0,0,40642807653,271726886912
290.9,0,0,40642807653,271726886912
292.0,0,0,40642807653,271726886912
293.0,0,0,40642807653,271726886912
294.1,0,0,40642807653,271726886912
295.1,0,0,40642807653,271726886912
296.2,0,0,40642807653,271726886912
297.2,0,0,40642807653,271726886912
298.3,0,0,40642807653,271726886912
300.4,0,0,40642807653,271726886912
301.4,0,0,40642807653,271726886912
302.5,0,0,40642807653,271726886912
303.6,0,0,40642807653,271726886912
