phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,63.45,80.75,76.31,94.00,105.37,105.4
reverse_retrieve,24,35.06,87.60,47.48,96.95,96.95,97.0
