phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,65.09,82.73,78.24,96.21,107.55,107.6
reverse_retrieve,24,37.92,96.13,52.55,107.35,108.93,109.0
