20:29:56 ram0.5-none avail=58475M free=1672M cached=56041M anon=64284M mapped=55930M shmem=142M unevict=0M slab=3008M psi_some=5.64 psi_full=5.64
20:30:06 ram0.5-none avail=58497M free=1609M cached=56129M anon=64285M mapped=56031M shmem=142M unevict=0M slab=3013M psi_some=3.52 psi_full=3.52
20:30:16 ram0.5-none avail=58462M free=1504M cached=56201M anon=64283M mapped=56092M shmem=142M unevict=0M slab=3006M psi_some=2.79 psi_full=2.79
20:30:27 ram0.5-none avail=58482M free=2105M cached=55629M anon=64283M mapped=55522M shmem=142M unevict=0M slab=2995M psi_some=4.41 psi_full=4.41
20:30:37 ram0.5-none avail=58506M free=1679M cached=56088M anon=64282M mapped=56012M shmem=142M unevict=0M slab=3003M psi_some=3.43 psi_full=3.43
20:30:47 ram0.5-none avail=58454M free=1380M cached=56311M anon=64284M mapped=56208M shmem=142M unevict=0M slab=3014M psi_some=2.03 psi_full=2.03
20:30:58 ram0.5-none avail=58465M free=1485M cached=56219M anon=64282M mapped=56131M shmem=142M unevict=0M slab=3009M psi_some=2.61 psi_full=2.61
20:31:08 ram0.5-none avail=58132M free=1135M cached=56252M anon=64701M mapped=35193M shmem=142M unevict=0M slab=2996M psi_some=12.07 psi_full=12.07
20:31:18 ram0.5-none avail=57980M free=1347M cached=55893M anon=64828M mapped=300M shmem=142M unevict=0M slab=2992M psi_some=4.74 psi_full=4.74
20:31:28 ram0.5-none avail=57965M free=1331M cached=55893M anon=64828M mapped=301M shmem=142M unevict=0M slab=2992M psi_some=1.74 psi_full=1.74
20:31:39 ram0.5-none avail=57968M free=1320M cached=55906M anon=64828M mapped=309M shmem=142M unevict=0M slab=2992M psi_some=0.52 psi_full=0.52
20:31:49 ram0.5-none avail=57967M free=1319M cached=55907M anon=64828M mapped=308M shmem=142M unevict=0M slab=2992M psi_some=0.19 psi_full=0.19
20:31:59 ram0.5-none avail=57927M free=1267M cached=55919M anon=64871M mapped=318M shmem=142M unevict=0M slab=2992M psi_some=0.07 psi_full=0.07
20:32:09 ram0.5-none avail=57152M free=1678M cached=55452M anon=64938M mapped=405M shmem=142M unevict=0M slab=2977M psi_some=0.10 psi_full=0.10
20:32:20 ram0.5-none avail=57144M free=1667M cached=55456M anon=64939M mapped=406M shmem=142M unevict=0M slab=2977M psi_some=0.03 psi_full=0.03
20:32:30 ram0.5-none avail=57139M free=1661M cached=55456M anon=64939M mapped=406M shmem=142M unevict=0M slab=2978M psi_some=0.01 psi_full=0.01
20:32:40 ram0.5-none avail=56984M free=1412M cached=55545M anon=65096M mapped=461M shmem=142M unevict=0M slab=2978M psi_some=0.00 psi_full=0.00
20:32:51 ram0.5-none avail=101763M free=45457M cached=55704M anon=638M mapped=119M shmem=0M unevict=0M slab=2692M psi_some=1.05 psi_full=1.05
20:33:01 ram0.5-none avail=123380M free=66452M cached=56025M anon=1066M mapped=400M shmem=0M unevict=0M slab=2568M psi_some=0.31 psi_full=0.31
20:33:11 ram0.5-none avail=122799M free=65750M cached=56140M anon=1636M mapped=483M shmem=0M unevict=0M slab=2568M psi_some=0.11 psi_full=0.11
20:33:21 ram0.5-none avail=95555M free=38341M cached=56444M anon=28136M mapped=828M shmem=142M unevict=0M slab=2734M psi_some=0.04 psi_full=0.04
20:33:32 ram0.5-none avail=57374M free=19459M cached=37898M anon=65444M mapped=817M shmem=142M unevict=0M slab=2423M psi_some=6.95 psi_full=6.95
20:33:42 ram0.5-none avail=57579M free=52454M cached=6127M anon=65418M mapped=1512M shmem=142M unevict=0M slab=1280M psi_some=2.63 psi_full=2.63
20:33:52 ram0.5-none avail=57570M free=40586M cached=17985M anon=65416M mapped=2111M shmem=142M unevict=0M slab=1279M psi_some=0.97 psi_full=0.97
20:34:02 ram0.5-none avail=57564M free=28543M cached=30022M anon=65417M mapped=2890M shmem=142M unevict=0M slab=1279M psi_some=0.35 psi_full=0.35
20:34:13 ram0.5-none avail=57564M free=16520M cached=42047M anon=65416M mapped=3485M shmem=142M unevict=0M slab=1279M psi_some=0.12 psi_full=0.12
20:34:23 ram0.5-none avail=57555M free=4426M cached=54129M anon=65416M mapped=4312M shmem=142M unevict=0M slab=1279M psi_some=0.03 psi_full=0.03
20:34:33 ram0.5-none avail=57817M free=2494M cached=56111M anon=65416M mapped=793M shmem=142M unevict=0M slab=1278M psi_some=0.64 psi_full=0.64
20:34:44 ram0.5-none avail=57800M free=1839M cached=56507M anon=65416M mapped=9897M shmem=142M unevict=0M slab=1522M psi_some=1.42 psi_full=1.42
20:34:54 ram0.5-none avail=57075M free=1348M cached=56740M anon=65416M mapped=20479M shmem=142M unevict=0M slab=1742M psi_some=0.82 psi_full=0.82
20:35:04 ram0.5-none avail=56958M free=1297M cached=56645M anon=65415M mapped=21906M shmem=142M unevict=0M slab=1879M psi_some=0.30 psi_full=0.30
20:35:15 ram0.5-none avail=57701M free=1341M cached=56448M anon=65415M mapped=26797M shmem=142M unevict=0M slab=2016M psi_some=1.50 psi_full=1.50
20:35:25 ram0.5-none avail=57685M free=1139M cached=56507M anon=65415M mapped=31850M shmem=142M unevict=0M slab=2154M psi_some=1.54 psi_full=1.54
20:35:35 ram0.5-none avail=57672M free=1216M cached=56298M anon=65415M mapped=36698M shmem=142M unevict=0M slab=2288M psi_some=1.83 psi_full=1.83
20:35:46 ram0.5-none avail=57637M free=1227M cached=56144M anon=65414M mapped=41827M shmem=142M unevict=0M slab=2425M psi_some=1.36 psi_full=1.36
20:35:56 ram0.5-none avail=57620M free=1272M cached=56002M anon=65415M mapped=45001M shmem=142M unevict=0M slab=2511M psi_some=1.15 psi_full=1.15
20:36:06 ram0.5-none avail=57617M free=1486M cached=55803M anon=65415M mapped=40071M shmem=142M unevict=0M slab=2478M psi_some=1.63 psi_full=1.63
20:36:16 ram0.5-none avail=56655M free=1309M cached=55989M anon=65415M mapped=39308M shmem=142M unevict=0M slab=2452M psi_some=3.14 psi_full=3.14
20:36:27 ram0.5-none avail=56675M free=1166M cached=56149M anon=65415M mapped=38613M shmem=142M unevict=0M slab=2427M psi_some=2.57 psi_full=2.57
20:36:37 ram0.5-none avail=57585M free=1108M cached=56206M anon=65415M mapped=37716M shmem=142M unevict=0M slab=2400M psi_some=1.48 psi_full=1.48
20:36:47 ram0.5-none avail=56627M free=1220M cached=56092M anon=65415M mapped=37986M shmem=142M unevict=0M slab=2400M psi_some=1.14 psi_full=1.14
20:36:58 ram0.5-none avail=57578M free=1162M cached=56147M anon=65415M mapped=39756M shmem=142M unevict=0M slab=2438M psi_some=0.97 psi_full=0.97
20:37:08 ram0.5-none avail=57044M free=1876M cached=55417M anon=65415M mapped=35605M shmem=142M unevict=0M slab=2416M psi_some=1.55 psi_full=1.55
20:37:18 ram0.5-none avail=57027M free=1672M cached=55600M anon=65415M mapped=35790M shmem=142M unevict=0M slab=2420M psi_some=0.57 psi_full=0.57
