phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,3.26,4.37,3.40,4.51,4.51,4.5
reverse_retrieve,8,0.51,0.93,0.71,1.09,1.09,1.1
