phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,62.47,86.03,78.57,99.41,105.62,105.6
reverse_retrieve,24,35.44,87.41,46.22,96.63,96.63,96.7
