phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,2,34.18,34.18,34.47,34.47,34.47,34.5
reverse_retrieve,2,0.20,0.20,0.52,0.52,0.52,0.5
