k,doc,category,occ,ttft_s,matched,ssd_read_ios,write_ios,cached
0,37,one_shot,0,1.0752,0,0,0,0
1,63,repeated,0,1.0378,0,0,0,16
2,45,one_shot,0,1.0724,0,0,0,16
3,55,repeated,0,1.1382,0,0,0,16
4,31,repeated,0,1.0548,0,0,0,16
5,0,far_reuse,0,1.1115,0,0,0,16
6,39,far_reuse,0,1.0546,0,0,0,16
7,29,one_shot,0,1.1108,0,0,0,16
8,4,near_reuse,0,1.0825,0,0,0,16
9,43,repeated,0,1.1124,0,0,0,16
10,42,one_shot,0,1.0974,0,0,0,16
11,30,repeated,0,1.0974,0,0,0,16
12,52,far_reuse,0,1.096,0,0,0,16
13,55,repeated,1,1.0815,0,0,2,272
14,62,far_reuse,0,1.0655,0,0,11,16
15,15,near_reuse,0,1.1128,0,0,1,16
16,33,far_reuse,0,1.0814,0,0,0,16
17,4,near_reuse,1,0.0803,0,0,0,1920
18,48,near_reuse,0,1.0905,0,0,13,16
19,22,repeated,0,1.1574,0,0,1,16
20,21,one_shot,0,1.063,0,0,0,16
21,60,one_shot,0,1.0633,0,0,0,16
22,6,one_shot,0,1.0892,0,0,0,16
23,19,near_reuse,0,1.0895,0,0,0,16
24,15,near_reuse,1,0.0935,0,0,2,1936
25,3,one_shot,0,1.092,0,0,10,16
26,63,repeated,1,1.1622,0,0,2,16
27,8,near_reuse,0,1.1393,0,0,10,16
28,31,repeated,1,1.0723,0,0,2,16
29,48,near_reuse,1,1.0972,0,0,10,16
30,34,repeated,0,1.0897,0,0,2,16
31,24,far_reuse,0,1.1042,0,0,0,16
32,35,far_reuse,0,1.0623,0,0,0,16
33,14,near_reuse,0,1.1317,0,0,0,16
34,9,repeated,0,1.0893,0,0,0,16
35,43,repeated,1,1.1044,0,0,0,16
36,22,repeated,1,1.1691,0,0,12,16
37,30,repeated,1,1.1188,0,0,2,16
38,19,near_reuse,1,1.0887,0,0,10,16
39,2,near_reuse,0,1.1053,0,0,4,16
40,26,near_reuse,0,1.0909,0,0,0,16
41,8,near_reuse,1,1.09,0,0,0,16
42,5,repeated,0,1.0698,0,0,11,16
43,25,repeated,0,1.0639,0,0,3,16
44,53,far_reuse,0,1.0649,0,0,0,16
45,27,one_shot,0,1.121,0,0,0,16
46,14,near_reuse,1,1.124,0,0,1,16
47,58,repeated,0,1.1177,0,0,11,16
48,31,repeated,2,1.4355,880,14,4,896
49,23,repeated,0,1.0813,0,0,9,16
50,2,near_reuse,1,1.1301,0,0,5,16
51,38,far_reuse,0,1.1043,0,0,10,16
52,26,near_reuse,1,1.096,0,0,4,16
53,20,repeated,0,1.0924,0,0,11,16
54,28,far_reuse,0,1.1161,0,0,1,16
55,41,repeated,0,1.1167,0,0,0,16
56,11,one_shot,0,1.0595,0,0,0,16
57,16,one_shot,0,1.1029,0,0,0,16
58,34,repeated,1,1.0874,0,0,0,16
59,30,repeated,2,2.652,624,10,14,640
60,10,near_reuse,0,1.1021,0,0,12,16
61,59,near_reuse,0,1.0875,0,0,2,16
62,0,far_reuse,1,1.1255,0,0,2,16
63,13,far_reuse,0,1.1372,0,0,12,16
64,39,far_reuse,1,1.0705,0,0,2,16
65,50,one_shot,0,1.1645,0,0,12,16
66,20,repeated,1,1.0695,0,0,2,16
67,49,far_reuse,0,1.0665,0,0,12,16
68,54,near_reuse,0,1.0875,0,0,0,16
69,46,near_reuse,0,1.0614,0,0,0,16
70,5,repeated,1,1.1006,0,0,2,16
71,40,near_reuse,0,1.0825,0,0,10,32
72,25,repeated,1,1.0638,0,0,2,16
73,10,near_reuse,1,1.1072,0,0,10,16
74,17,repeated,0,1.0905,0,0,4,16
75,52,far_reuse,1,1.1054,0,0,0,16
76,59,near_reuse,1,1.0986,0,0,12,16
