phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,15.23,20.34,15.39,20.50,20.50,20.5
reverse_retrieve,8,0.85,1.42,1.08,1.57,1.57,1.6
kv_r: 6 ops, 0.78 GiB, busy 0.6 s
kv_w: 16 ops, 1.12 GiB, busy 31.1 s
