Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.5,415721745439,10496,39607635.8,932881.5,22368,470654751,112517607.6,kernel_unified_attention
15.0,75496202199,25408,2971355.6,1086483.0,58784,19690913,3361843.3,"void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1125899906910725, (int)256, (int)4, (int)16, (int)4, (bool)0, (int)2, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.9,4340851873,41984,103393.0,2720.0,2112,3184267,398310.5,"marlin::permute_cols_kernel(const int4 *, const int *, int4 *, int, int, int, int)"
0.5,2606966093,32896,79248.7,74960.5,27104,208609,54441.0,"void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1125899906910725, (int)256, (int)1, (int)8, (int)8, (bool)1, (int)2, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.4,2007681520,10496,191280.6,4896.0,4448,1866726,476395.1,"void vllm::act_and_mul_kernel<c10::Half, __half2, &vllm::silu_kernel<c10::Half>, &vllm::packed_silu_kernel<__half2>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float, float, float)"
0.3,1603039143,20992,76364.3,2848.0,2464,766403,188855.0,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::Half, (int)8, (bool)1>(T1 *, long, T1 *, const T1 *, float, int, int)"
0.1,580123899,221,2624995.0,2608457.0,2591172,2929162,53397.7,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
0.1,551600145,10496,52553.4,3232.0,2880,515586,126280.6,"void vllm::rotary_embedding_kernel<c10::Half, c10::Half, (bool)1>(const long *, T1 *, T1 *, const T2 *, int, long, long, long, int, int, int, long, bool)"
0.1,282376952,107,2639036.9,2596136.0,2579235,2960739,75210.8,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
0.1,272158815,2048,132890.0,105200.5,48864,300224,85814.6,"void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1125899906910725, (int)256, (int)3, (int)16, (int)4, (bool)0, (int)2, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
