Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
15.0,584865412993,1,584865412993.0,584865412993.0,584865412993,584865412993,0.0,PushPop,:phase:stream
10.6,412640809951,11930,34588500.4,3829824.0,725227,3059254448,111319279.8,PushPop,:cuFileHandleNVFS
10.3,400616144292,10448,38343811.7,4392199.5,730968,3059266612,118302859.8,PushPop,:cuFileWrite
0.5,17821688991,1,17821688991.0,17821688991.0,17821688991,17821688991,0.0,PushPop,:kv_store job=124 c=0 a4717ddd90ff36c97e45741d3c22b875035862f1c3162843b06351bcb78814cd.bin 8MiB
0.5,17820987878,1,17820987878.0,17820987878.0,17820987878,17820987878,0.0,PushPop,:kv_store job=124 c=1 f74e42f522148eba48f63661a5a79433aaa338c5db2865187b49e5716340d1b5.bin 8MiB
0.4,17449367763,1,17449367763.0,17449367763.0,17449367763,17449367763,0.0,PushPop,:kv_store job=133 c=3 f13955d286758050e9369006f17f500b25216fb2fff40aa0ea84a9fbb7422a0b.bin 8MiB
0.4,17446815547,1,17446815547.0,17446815547.0,17446815547,17446815547,0.0,PushPop,:kv_store job=133 c=0 a0d31e735e8308d5a9224c7ebed43f9a5ae91f7076fc602e33e170c860d4012d.bin 8MiB
0.4,17443353594,1,17443353594.0,17443353594.0,17443353594,17443353594,0.0,PushPop,:kv_store job=133 c=2 9eea7d9c322d045a83f4ff804cb8bc39674df3565999980801f9218f0d21e713.bin 8MiB
0.4,17437236411,1,17437236411.0,17437236411.0,17437236411,17437236411,0.0,PushPop,:kv_store job=133 c=1 3a2ca764f9849a4fba7adb6a43935e2e0ae37d38fba5a8456927ec6fa43d82e4.bin 8MiB
0.4,17407899260,1,17407899260.0,17407899260.0,17407899260,17407899260,0.0,PushPop,:kv_store job=124 c=2 ebb4d4a5f2b3c8b8b7269e75d7a4a3df976d7c5b26d42dd7d9798cd9ae26ddfb.bin 8MiB
0.4,17390901770,1,17390901770.0,17390901770.0,17390901770,17390901770,0.0,PushPop,:step:stream #898 running=4
0.4,17370256044,1,17370256044.0,17370256044.0,17370256044,17370256044,0.0,PushPop,:kv_store job=169 c=2 af17122ee2f0b9897d1e0abafa38bf29d42bc5e632d712e0a4f9b10dda29a1d5.bin 8MiB
0.4,17368177146,1,17368177146.0,17368177146.0,17368177146,17368177146,0.0,PushPop,:kv_store job=169 c=1 ca705021bf20edac3aeadecd3de936684d7937f23ef00301517cf19f0fef4d48.bin 8MiB
0.4,17368091249,1,17368091249.0,17368091249.0,17368091249,17368091249,0.0,PushPop,:step:stream #1015 running=4
0.4,17367855425,1,17367855425.0,17367855425.0,17367855425,17367855425,0.0,PushPop,:step:stream #1045 running=4
0.4,17367772992,1,17367772992.0,17367772992.0,17367772992,17367772992,0.0,PushPop,:kv_store job=167 c=0 aeb184cee3c76493dfc5c102b37801a28fb9f8bba9f1be7db5d1d34b7eea8feb.bin 8MiB
