phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,510.69,733.12,657.78,880.18,880.18,880.2
reverse_retrieve,8,492.74,788.30,664.52,935.14,935.14,935.2
kv_r: 6 ops, 23.59 GiB, busy 126.3 s
kv_w: 16 ops, 34.52 GiB, busy 1936.8 s
