Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
40.5,262597864454,8693,30207967.8,27278823.0,404401,126350131,23305255.6,PushPop,:cuFileHandleNVFS
18.3,119020706419,3373,35286304.9,28438612.0,420899,139155057,27391699.6,PushPop,:cuFileRead
11.4,73858227508,1,73858227508.0,73858227508.0,73858227508,73858227508,0.0,PushPop,:phase:reverse_retrieve
0.8,4868645722,1,4868645722.0,4868645722.0,4868645722,4868645722,0.0,PushPop,:step:reverse_retrieve #11 running=19
0.7,4234406568,1,4234406568.0,4234406568.0,4234406568,4234406568,0.0,PushPop,:step:reverse_retrieve #24 running=12
0.5,3204628500,1,3204628500.0,3204628500.0,3204628500,3204628500,0.0,PushPop,:step:reverse_retrieve #49 running=8
0.5,3098394013,1,3098394013.0,3098394013.0,3098394013,3098394013,0.0,PushPop,:step:reverse_retrieve #56 running=6
0.4,2876139933,40,71903498.3,70468003.5,42981744,103663236,10954983.2,PushPop,:weight_ssd_read layer018/mlp.down_proj.weight.bin 43MiB
0.4,2770355635,40,69258890.9,67796839.0,53551430,88483992,9259794.5,PushPop,:weight_ssd_read layer026/mlp.down_proj.weight.bin 43MiB
0.4,2767883834,40,69197095.8,69926678.5,51512703,89741064,9814972.8,PushPop,:weight_ssd_read layer019/mlp.down_proj.weight.bin 43MiB
0.4,2763366662,40,69084166.5,67491054.5,44341235,139214317,17071650.3,PushPop,:weight_ssd_read layer017/mlp.down_proj.weight.bin 43MiB
0.4,2740722527,40,68518063.2,67968547.0,43110311,93718306,11153349.1,PushPop,:weight_ssd_read layer023/mlp.down_proj.weight.bin 43MiB
0.4,2714280577,40,67857014.4,67428799.0,43230194,96170947,10280433.2,PushPop,:weight_ssd_read layer025/mlp.down_proj.weight.bin 43MiB
0.4,2712380008,40,67809500.2,67732183.0,42942062,92965223,11120783.8,PushPop,:weight_ssd_read layer024/mlp.down_proj.weight.bin 43MiB
0.4,2692216929,40,67305423.2,65361157.0,45459483,92144963,8503651.6,PushPop,:weight_ssd_read layer030/mlp.down_proj.weight.bin 43MiB
0.4,2680588530,40,67014713.3,66244949.0,51000740,91302625,7696852.7,PushPop,:weight_ssd_read layer032/mlp.down_proj.weight.bin 43MiB
0.4,2655221836,40,66380545.9,66824815.0,47375620,88712586,10062274.5,PushPop,:weight_ssd_read layer022/mlp.down_proj.weight.bin 43MiB
0.4,2636478941,40,65911973.5,64871361.5,53751733,93739866,7931458.4,PushPop,:weight_ssd_read layer031/mlp.down_proj.weight.bin 43MiB
0.4,2631484755,40,65787118.9,64465374.5,36914597,94609757,10628525.2,PushPop,:weight_ssd_read layer018/mlp.gate_up_proj.weight.bin 86MiB
0.4,2629438379,40,65735959.5,65562074.5,46895521,82628108,8084210.7,PushPop,:weight_ssd_read layer035/mlp.down_proj.weight.bin 43MiB
0.4,2613551800,40,65338795.0,65041731.0,44966310,97236053,9591931.4,PushPop,:weight_ssd_read layer029/mlp.down_proj.weight.bin 43MiB
0.4,2588754220,40,64718855.5,65601363.5,44040652,89616118,8974289.9,PushPop,:weight_ssd_read layer028/mlp.down_proj.weight.bin 43MiB
0.4,2580957710,40,64523942.8,65507467.5,43006650,79241019,8622254.0,PushPop,:weight_ssd_read layer034/mlp.down_proj.weight.bin 43MiB
