Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
83.4,9441798769,1440,6556804.7,219471.0,6528,87445291,18852067.7,kernel_unified_attention
8.9,1007124037,612,1645627.5,1291290.0,84992,5312007,1564615.8,turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn
4.3,485403662,4213,115215.7,114368.0,23456,1724888,170513.0,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
0.9,96491939,1440,67008.3,4512.0,3648,747932,172523.0,"void vllm::act_and_mul_kernel<c10::Half, __half2, &vllm::silu_kernel<c10::Half>, &vllm::packed_silu_kernel<__half2>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float, float, float)"
0.6,70328160,252,279080.0,181199.5,33248,870332,256683.5,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn
0.6,68905601,180,382808.9,347903.0,86399,696252,237368.4,turing_fp16_s1688gemm_fp16_256x128_ldg8_relu_f2f_tn
0.5,51243144,2880,17792.8,2528.0,2176,195359,43126.6,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::Half, (int)8, (bool)1>(T1 *, long, T1 *, const T1 *, float, int, int)"
0.2,22984151,147,156354.8,223743.0,23200,1708760,245150.8,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
0.2,18649195,1440,12950.8,2624.0,2432,127615,29017.7,"void vllm::rotary_embedding_kernel<c10::Half, c10::Half, (bool)1>(const long *, T1 *, T1 *, const T2 *, int, long, long, long, int, int, int, long, bool)"
0.2,17510648,108,162135.6,136288.0,39328,310334,110918.2,turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn
0.1,8472760,36,235354.4,235038.5,233791,237663,1060.9,turing_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_tn
