Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
97.0,17614764012,857,20553983.7,24300.0,5232,1829251746,103093175.0,cudaEventSynchronize
1.0,180195967,7923,22743.4,20762.0,5370,173874,15359.7,cudaLaunchKernel
0.5,87411024,7492,11667.2,8678.0,3072,103147,10048.9,cudaMemcpyAsync
0.5,85595925,4036,21208.1,18338.5,4648,130724,10678.0,cuLaunchKernelEx
0.4,71408460,4249,16805.9,16473.0,4865,80717,8244.5,cuLaunchKernel
0.2,30669515,16944,1810.1,1050.0,252,47868,2278.9,cudaStreamIsCapturing_v10000
0.1,18595914,2936,6333.8,6327.0,1802,32381,3664.5,cudaStreamWaitEvent
0.1,16593151,3076,5394.4,5845.5,1043,42739,3222.4,cudaEventRecordWithFlags_v11010
0.1,9779499,403,24266.7,21612.0,16111,68786,8195.0,cuMemcpyPeerAsync
0.0,8468625,4249,1993.1,1852.0,530,78068,1661.2,cuKernelGetFunction
0.0,7719194,1534,5032.1,5723.0,1491,34682,2503.2,cudaEventCreateWithFlags
0.0,6872839,1526,4503.8,5135.0,943,26646,2827.4,cudaEventDestroy
0.0,6515740,403,16168.1,7866.0,2930,69045,15588.9,cuStreamSynchronize
0.0,6102015,1336,4567.4,1826.0,352,45812,7619.8,cudaMemsetAsync
0.0,1412105,17,83065.0,48726.0,13107,216540,66534.3,cuMemcpyBatchAsync
0.0,820372,108,7596.0,3972.5,1007,31708,6780.0,cudaEventQuery
0.0,443106,11,40282.4,53311.0,6753,71385,26539.0,cudaHostAlloc
0.0,285138,34,8386.4,6629.5,2027,18246,4545.3,cudaEventRecord
0.0,4677,1,4677.0,4677.0,4677,4677,0.0,cuProfilerStart
0.0,1921,1,1921.0,1921.0,1921,1921,0.0,cuLibraryGetKernel
