phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,16.70,21.78,16.86,21.94,21.94,21.9
reverse_retrieve,8,0.82,1.35,1.05,1.50,1.50,1.5
