phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,64.09,86.94,79.37,100.49,106.86,106.9
reverse_retrieve,24,34.36,78.16,43.97,87.77,87.77,87.8
kv_r: 20 ops, 0.98 GiB, busy 40.2 s
kv_w: 22 ops, 1.50 GiB, busy 50.7 s
