phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,14.02,21.80,16.70,21.98,21.98,22.0
reverse_retrieve,8,2.24,3.25,2.48,3.40,3.40,3.4
