geom,chunk,tok_mult,spans,span_name,transport,op,p50,p95,p99,gibps,cpu_util,reg_s,reg_fail,mmap_d,bar1_d,checksum
opt125m,9437184,16,12,L,gds_reg,read,3.691,3.776,3.776,2.381,0.298,0.0051,,12,12,True
opt125m,9437184,16,12,L,gds_unreg,write,4.011,4.046,4.046,2.191,0.306,,,0,0,
opt125m,9437184,16,12,L,gds_unreg,read,4.008,4.351,4.351,2.193,0.34,,,0,0,True
opt125m,9437184,16,12,L,gds_staging,write,5.361,5.744,5.744,1.639,0.48,,,0,0,
opt125m,9437184,16,12,L,gds_staging,read,5.284,5.634,5.634,1.663,0.502,,,0,0,True
opt125m,9437184,16,12,L,posix,write,3.96,3.991,3.991,2.219,0.327,,,0,0,
opt125m,9437184,16,12,L,posix,read,4.025,4.047,4.047,2.183,0.378,,,0,0,True
opt125m,9437184,16,24,2L,gds_reg,write,4.149,4.256,4.256,2.119,0.294,0.0077,,24,24,
opt125m,9437184,16,24,2L,gds_reg,read,4.061,4.097,4.097,2.164,0.321,0.0077,,24,24,True
opt125m,9437184,16,24,2L,gds_unreg,write,4.677,4.696,4.696,1.879,0.38,,,0,0,
opt125m,9437184,16,24,2L,gds_unreg,read,4.573,6.221,6.221,1.922,0.401,,,0,0,True
opt125m,9437184,16,24,2L,gds_staging,write,6.974,7.079,7.079,1.26,0.591,,,0,0,
opt125m,9437184,16,24,2L,gds_staging,read,6.927,7.076,7.076,1.269,0.606,,,0,0,True
opt125m,9437184,16,24,2L,posix,write,4.024,4.071,4.071,2.184,0.338,,,0,0,
opt125m,9437184,16,24,2L,posix,read,4.104,4.121,4.121,2.142,0.389,,,0,0,True
llama8b,2097152,1,1,1,gds_reg,write,0.706,0.721,0.721,2.766,0.237,0.0008,,1,1,
llama8b,2097152,1,1,1,gds_reg,read,0.781,0.844,0.844,2.502,0.259,0.0008,,1,1,True
llama8b,2097152,1,1,1,gds_unreg,write,0.826,0.835,0.835,2.364,0.264,,,0,0,
llama8b,2097152,1,1,1,gds_unreg,read,0.919,1.016,1.016,2.126,0.28,,,0,0,True
llama8b,2097152,1,1,1,gds_staging,write,0.884,0.897,0.897,2.209,0.335,,,0,0,
llama8b,2097152,1,1,1,gds_staging,read,0.908,0.967,0.967,2.15,0.368,,,0,0,True
llama8b,2097152,1,1,1,posix,write,0.912,0.928,0.928,2.142,0.39,,,0,0,
llama8b,2097152,1,1,1,posix,read,0.917,0.981,0.981,2.13,0.445,,,0,0,True
llama8b,2097152,1,32,L,gds_reg,write,1.51,1.747,1.747,1.294,0.42,0.0071,,32,32,
llama8b,2097152,1,32,L,gds_reg,read,1.713,1.775,1.775,1.14,0.506,0.0047,,32,32,True
