Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.4,228751736710,630,363097994.8,43331.5,4754,2906096804,663498875.5,cudaEventSynchronize
9.7,26411671373,478624,55182.5,31608.0,5075,668154892,2586526.2,cuMemcpyPeerAsync
4.3,11621602805,478624,24281.3,11181.0,1869,72579143,148003.4,cuStreamSynchronize
0.7,1850872256,5943,311437.4,23170.0,5694,1473070657,19231979.9,cudaLaunchKernel
0.4,1208991876,1931,626096.3,1896.0,751,1204800721,27417212.6,cuKernelGetFunction
0.2,659993290,1,659993290.0,659993290.0,659993290,659993290,0.0,cuMemFree_v2
0.0,100406953,5656,17752.3,11186.0,3487,15758966,209755.8,cudaMemcpyAsync
0.0,83091727,2412,34449.3,28762.5,7945,12772395,260022.8,cuLaunchKernelEx
0.0,72142256,1931,37360.0,18787.0,6468,30227303,687681.8,cuLaunchKernel
0.0,30511094,1452,21013.2,18577.5,7595,588570,20588.5,cudaMemsetAsync
0.0,24077581,4,6019395.3,4887442.5,196498,14106198,6878625.0,cuMemAlloc_v2
0.0,22753243,12113,1878.4,1361.0,315,23972,1742.3,cudaStreamIsCapturing_v10000
0.0,14612599,1932,7563.5,6202.5,2324,291133,11181.2,cudaStreamWaitEvent
0.0,13355366,8,1669420.8,67310.5,30953,12929957,4549979.7,cudaHostAlloc
0.0,11123719,1976,5629.4,5268.0,1232,35946,2168.6,cudaEventRecordWithFlags_v11010
0.0,5717070,995,5745.8,5556.0,1131,30999,1721.4,cudaEventCreateWithFlags
0.0,5527119,3,1842373.0,580373.0,109985,4836761,2603859.8,cuMemHostRegister_v2
0.0,4199915,990,4242.3,3198.0,1057,24961,2088.1,cudaEventDestroy
0.0,2510277,3,836759.0,219734.0,59156,2231387,1210449.0,cuStreamCreateWithPriority
0.0,893149,4,223287.3,241533.5,134474,275608,63065.8,cuModuleLoadData
0.0,313878,1,313878.0,313878.0,313878,313878,0.0,cudaMalloc
0.0,136872,1,136872.0,136872.0,136872,136872,0.0,cuProfilerStart
0.0,130348,14,9310.6,9105.5,1994,23507,4977.9,cudaEventQuery
0.0,2806,1,2806.0,2806.0,2806,2806,0.0,cuLibraryGetKernel
