Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
36.2,969204096018,5722,169382051.0,93655520.0,3014928,2128964701,176481700.1,PushPop,:cuFileHandleNVFS
15.3,411132131580,1196,343755962.9,456840194.0,53200918,3467946288,310625335.0,PushPop,:cuFileRead
14.8,396790549229,1,396790549229.0,396790549229.0,396790549229,396790549229,0.0,PushPop,:phase:cold_fill
2.6,70890380142,1,70890380142.0,70890380142.0,70890380142,70890380142,0.0,PushPop,:step:cold_fill #11 running=31
2.4,63148115008,1,63148115008.0,63148115008.0,63148115008,63148115008,0.0,PushPop,:step:cold_fill #3 running=32
1.8,49517280402,1,49517280402.0,49517280402.0,49517280402,49517280402,0.0,PushPop,:step:cold_fill #2 running=32
1.7,46453828702,1,46453828702.0,46453828702.0,46453828702,46453828702,0.0,PushPop,:step:cold_fill #1 running=32
1.6,42160062350,358,117765537.3,44779515.0,6986494,834172901,147932962.5,PushPop,:cuFileWrite
1.4,38577218377,1,38577218377.0,38577218377.0,38577218377,38577218377,0.0,PushPop,:step:cold_fill #10 running=31
1.2,33364316893,1,33364316893.0,33364316893.0,33364316893,33364316893,0.0,PushPop,:step:cold_fill #0 running=32
0.7,17793328960,1,17793328960.0,17793328960.0,17793328960,17793328960,0.0,PushPop,:step:cold_fill #8 running=32
0.6,16608389865,1,16608389865.0,16608389865.0,16608389865,16608389865,0.0,PushPop,:step:cold_fill #4 running=32
0.5,14683753777,1,14683753777.0,14683753777.0,14683753777,14683753777,0.0,PushPop,:step:cold_fill #6 running=32
0.5,14313849072,1,14313849072.0,14313849072.0,14313849072,14313849072,0.0,PushPop,:step:cold_fill #9 running=32
0.5,14247545122,1,14247545122.0,14247545122.0,14247545122,14247545122,0.0,PushPop,:step:cold_fill #7 running=32
0.5,14080638457,1,14080638457.0,14080638457.0,14080638457,14080638457,0.0,PushPop,:step:cold_fill #5 running=32
0.5,12800885720,12,1066740476.7,515294887.5,506641776,3468031139,1038011685.9,PushPop,:weight_ssd_read layer020/mlp.down_proj.weight.bin 462MiB
0.4,10573315531,12,881109627.6,463614072.0,457242422,2679714248,837313706.9,PushPop,:weight_ssd_read layer020/mlp.gate_up_proj.weight.bin 924MiB
0.3,9167527975,12,763960664.6,533067838.0,516904449,3089992664,734685817.2,PushPop,:weight_ssd_read layer011/mlp.down_proj.weight.bin 462MiB
0.3,8939893254,12,744991104.5,532701288.5,327449071,2645355296,632981927.6,PushPop,:weight_ssd_read layer023/mlp.down_proj.weight.bin 462MiB
0.3,8402354480,12,700196206.7,535430195.5,521223280,2504117128,568179356.5,PushPop,:weight_ssd_read layer017/mlp.down_proj.weight.bin 462MiB
0.3,7894628449,12,657885704.1,490670681.0,437520702,1870908458,427915443.6,PushPop,:weight_ssd_read layer023/mlp.gate_up_proj.weight.bin 924MiB
0.3,7875792958,12,656316079.8,488064367.5,473507207,2307199560,522824066.9,PushPop,:weight_ssd_read layer011/mlp.gate_up_proj.weight.bin 924MiB
0.3,7704143910,12,642011992.5,525691711.5,503718466,1208179400,253625480.4,PushPop,:weight_ssd_read layer004/mlp.down_proj.weight.bin 462MiB
0.3,7511802138,12,625983511.5,538902638.0,519145122,1577226364,299801631.2,PushPop,:weight_ssd_read layer049/mlp.down_proj.weight.bin 462MiB
0.3,7485468732,12,623789061.0,505857956.5,503735821,1902624114,402756131.2,PushPop,:weight_ssd_read layer078/mlp.down_proj.weight.bin 462MiB
0.3,7205319072,12,600443256.0,493515863.5,478399608,1779719008,371525451.4,PushPop,:weight_ssd_read layer017/mlp.gate_up_proj.weight.bin 924MiB
0.3,7197883851,12,599823654.3,521366865.0,505858314,1468843711,273773239.0,PushPop,:weight_ssd_read layer075/mlp.down_proj.weight.bin 462MiB
0.3,6971410711,12,580950892.6,494523425.5,477026432,1532778195,299968999.4,PushPop,:weight_ssd_read layer049/mlp.gate_up_proj.weight.bin 924MiB
0.3,6767762153,12,563980179.4,476874007.5,456813691,1162695767,204917673.6,PushPop,:weight_ssd_read layer004/mlp.gate_up_proj.weight.bin 924MiB
0.3,6700486786,11,609135162.4,533331640.0,509043969,820970548,133734952.1,PushPop,:weight_ssd_read layer001/mlp.down_proj.weight.bin 462MiB
0.2,6682329628,12,556860802.3,476369692.0,463784754,1427768882,274346988.9,PushPop,:weight_ssd_read layer075/mlp.gate_up_proj.weight.bin 924MiB
0.2,6577918764,12,548159897.0,526478283.5,512560681,792104029,77220817.2,PushPop,:weight_ssd_read layer027/mlp.down_proj.weight.bin 462MiB
0.2,6471277602,12,539273133.5,538329051.0,508907224,574748071,20828019.2,PushPop,:weight_ssd_read layer055/mlp.down_proj.weight.bin 462MiB
0.2,6461696231,12,538474685.9,519991798.5,507245781,711480513,55798995.9,PushPop,:weight_ssd_read layer071/mlp.down_proj.weight.bin 462MiB
0.2,6388778135,12,532398177.9,530308516.0,335733499,733323377,85445603.5,PushPop,:weight_ssd_read layer043/mlp.down_proj.weight.bin 462MiB
0.2,6385033890,12,532086157.5,529792638.5,511545865,565254728,13455285.6,PushPop,:weight_ssd_read layer007/mlp.down_proj.weight.bin 462MiB
0.2,6355382522,12,529615210.2,529066902.5,516656698,540143947,7249867.8,PushPop,:weight_ssd_read layer039/mlp.down_proj.weight.bin 462MiB
0.2,6322221121,12,526851760.1,524842060.5,514659185,551396297,10343926.1,PushPop,:weight_ssd_read layer065/mlp.down_proj.weight.bin 462MiB
0.2,6318562264,12,526546855.3,523719863.5,508854602,549491696,12903225.1,PushPop,:weight_ssd_read layer059/mlp.down_proj.weight.bin 462MiB
0.2,6305978092,12,525498174.3,525373146.0,511214794,535197115,7689280.7,PushPop,:weight_ssd_read layer033/mlp.down_proj.weight.bin 462MiB
0.2,6295558201,12,524629850.1,508792414.5,505993006,637432664,37128023.0,PushPop,:weight_ssd_read layer030/mlp.down_proj.weight.bin 462MiB
0.2,6281129461,12,523427455.1,506064559.5,505310299,687570021,51908061.6,PushPop,:weight_ssd_read layer062/mlp.down_proj.weight.bin 462MiB
0.2,6156371861,12,513030988.4,510328898.5,508065416,526717857,5890819.1,PushPop,:weight_ssd_read layer014/mlp.down_proj.weight.bin 462MiB
0.2,6151130899,12,512594241.6,510314780.0,507769835,526544112,5426674.4,PushPop,:weight_ssd_read layer036/mlp.down_proj.weight.bin 462MiB
0.2,6120099204,12,510008267.0,505906456.5,502418791,526172375,7547590.3,PushPop,:weight_ssd_read layer046/mlp.down_proj.weight.bin 462MiB
0.2,6116618352,12,509718196.0,508319404.0,504840374,521553319,4535868.6,PushPop,:weight_ssd_read layer052/mlp.down_proj.weight.bin 462MiB
0.2,6092298636,12,507691553.0,505529346.0,502066932,519073457,5846370.6,PushPop,:weight_ssd_read layer068/mlp.down_proj.weight.bin 462MiB
0.2,6081579458,12,506798288.2,485904018.5,471636241,684210148,58249177.3,PushPop,:weight_ssd_read layer043/mlp.gate_up_proj.weight.bin 924MiB
0.2,6071537607,12,505961467.3,459054902.0,456817045,1000629854,155841310.2,PushPop,:weight_ssd_read layer078/mlp.gate_up_proj.weight.bin 924MiB
0.2,6034196802,12,502849733.5,482230020.0,466051260,746766193,77192079.2,PushPop,:weight_ssd_read layer027/mlp.gate_up_proj.weight.bin 924MiB
0.2,5911538215,12,492628184.6,478346181.5,468588090,626962618,43746275.5,PushPop,:weight_ssd_read layer071/mlp.gate_up_proj.weight.bin 924MiB
0.2,5910997101,12,492583091.8,488858029.5,462521296,528624548,20753692.6,PushPop,:weight_ssd_read layer055/mlp.gate_up_proj.weight.bin 924MiB
0.2,5835382446,12,486281870.5,483768444.0,467146047,516018083,12231360.0,PushPop,:weight_ssd_read layer007/mlp.gate_up_proj.weight.bin 924MiB
0.2,5830955119,12,485912926.6,481831426.5,468469007,506534782,12152120.9,PushPop,:weight_ssd_read layer059/mlp.gate_up_proj.weight.bin 924MiB
0.2,5792582728,12,482715227.3,482255770.5,470890838,495598318,7316807.4,PushPop,:weight_ssd_read layer039/mlp.gate_up_proj.weight.bin 924MiB
0.2,5781714463,12,481809538.6,478437940.0,470591308,502746259,9115719.2,PushPop,:weight_ssd_read layer065/mlp.gate_up_proj.weight.bin 924MiB
0.2,5773549947,12,481129162.3,481924550.5,462830045,490376396,8111822.0,PushPop,:weight_ssd_read layer033/mlp.gate_up_proj.weight.bin 924MiB
0.2,5709003782,12,475750315.2,459931160.5,457673171,639671701,51741451.2,PushPop,:weight_ssd_read layer062/mlp.gate_up_proj.weight.bin 924MiB
