Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
43.0,907377629414,6076,149337990.4,84632517.5,2013598,2208619011,166601967.7,PushPop,:cuFileHandleNVFS
19.7,415706126589,2171,191481403.3,81696532.0,3956077,3243461875,258488564.9,PushPop,:cuFileRead
8.8,185665186339,1,185665186339.0,185665186339.0,185665186339,185665186339,0.0,PushPop,:phase:reverse_retrieve
0.9,19072235979,1,19072235979.0,19072235979.0,19072235979,19072235979,0.0,PushPop,:step:reverse_retrieve #12 running=25
0.9,18509725046,1,18509725046.0,18509725046.0,18509725046,18509725046,0.0,PushPop,:step:reverse_retrieve #9 running=29
0.8,16609867483,1,16609867483.0,16609867483.0,16609867483,16609867483,0.0,PushPop,:step:reverse_retrieve #7 running=32
0.7,15323953686,1,15323953686.0,15323953686.0,15323953686,15323953686,0.0,PushPop,:step:reverse_retrieve #0 running=32
0.7,15241505134,1,15241505134.0,15241505134.0,15241505134,15241505134,0.0,PushPop,:step:reverse_retrieve #2 running=32
0.7,15015903553,1,15015903553.0,15015903553.0,15015903553,15015903553,0.0,PushPop,:step:reverse_retrieve #11 running=25
0.7,14812340058,1,14812340058.0,14812340058.0,14812340058,14812340058,0.0,PushPop,:step:reverse_retrieve #5 running=32
0.7,14070272122,1,14070272122.0,14070272122.0,14070272122,14070272122,0.0,PushPop,:step:reverse_retrieve #6 running=32
0.7,14067733565,1,14067733565.0,14067733565.0,14067733565,14067733565,0.0,PushPop,:step:reverse_retrieve #8 running=32
0.7,14064303489,1,14064303489.0,14064303489.0,14064303489,14064303489,0.0,PushPop,:step:reverse_retrieve #1 running=32
0.7,14051237938,1,14051237938.0,14051237938.0,14051237938,14051237938,0.0,PushPop,:step:reverse_retrieve #3 running=32
0.7,14045816716,1,14045816716.0,14045816716.0,14045816716,14045816716,0.0,PushPop,:step:reverse_retrieve #4 running=32
0.4,9030508222,12,752542351.8,524614297.0,513113464,3243539810,784530703.8,PushPop,:weight_ssd_read layer043/mlp.down_proj.weight.bin 462MiB
0.4,8235838555,12,686319879.6,503946650.0,502651861,2686697110,629960212.9,PushPop,:weight_ssd_read layer046/mlp.down_proj.weight.bin 462MiB
0.4,8019707919,12,668308993.3,536440346.0,510148792,2184445637,477643150.3,PushPop,:weight_ssd_read layer017/mlp.down_proj.weight.bin 462MiB
