phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,15.27,20.47,15.44,20.63,20.63,20.6
reverse_retrieve,8,0.82,1.36,1.06,1.51,1.51,1.5
kv_r: 6 ops, 0.78 GiB, busy 0.3 s
kv_w: 16 ops, 1.12 GiB, busy 31.5 s
