Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.4,417033642357,11552,36100557.7,809937.0,19744,464885671,108179115.9,kernel_unified_attention
15.0,75839581761,23872,3176926.2,1734374.0,59392,19955648,3366884.4,"void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1125899906910725, (int)256, (int)4, (int)16, (int)4, (bool)0, (int)2, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.9,4339138257,46208,93904.5,2720.0,2112,3182058,375528.0,"marlin::permute_cols_kernel(const int4 *, const int *, int4 *, int, int, int, int)"
0.6,2961413409,37760,78427.3,63360.0,27136,179617,53903.3,"void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1125899906910725, (int)256, (int)1, (int)8, (int)8, (bool)1, (int)2, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.4,2013901440,11552,174333.6,4928.0,4576,1844486,452198.7,"void vllm::act_and_mul_kernel<c10::Half, __half2, &vllm::silu_kernel<c10::Half>, &vllm::packed_silu_kernel<__half2>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float, float, float)"
0.3,1602537995,23104,69361.9,2848.0,2528,991232,178660.7,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::Half, (int)8, (bool)1>(T1 *, long, T1 *, const T1 *, float, int, int)"
0.1,611563738,234,2613520.2,2600664.0,2590889,2677796,25860.1,void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
0.1,553154844,11552,47883.9,3232.0,2880,493634,119596.9,"void vllm::rotary_embedding_kernel<c10::Half, c10::Half, (bool)1>(const long *, T1 *, T1 *, const T2 *, int, long, long, long, int, int, int, long, bool)"
0.1,386881307,4352,88897.4,68576.5,30080,192321,59539.5,"void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1125899906910725, (int)256, (int)1, (int)8, (int)8, (bool)0, (int)2, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.1,331019904,127,2606455.9,2579976.0,2579240,2759781,45003.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
0.0,241114658,11552,20872.1,1632.0,1568,212417,51454.9,reshape_and_cache_kernel_flash
0.0,234924218,1792,131096.1,105296.0,49025,298945,84974.4,"void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1125899906910725, (int)256, (int)3, (int)16, (int)4, (bool)0, (int)2, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.0,125008512,1152,108514.3,85120.5,39392,227745,69965.1,"void marlin::Marlin<(long)1125899906910725, (long)1125899907892224, (long)1125899906910725, (long)1125899906910725, (int)256, (int)2, (int)16, (int)4, (bool)0, (int)2, (int)8, (bool)0>(const int4 *, const int4 *, int4 *, int4 *, const int4 *, const float *, const int4 *, const float *, const int4 *, const int *, int, int, int, int, int, int *, bool, bool, bool, int)"
0.0,37198137,8992,4136.8,4192.0,2272,6497,1036.2,reduce_segments
0.0,13464353,361,37297.4,2304.0,2208,387457,93886.3,"void vllm::rms_norm_kernel<c10::Half, (int)8, (int)2, (bool)1>(T1 *, const T1 *, long, long, long, long, long, const T1 *, long, float, int, int)"
0.0,12422439,304,40863.3,1568.0,1280,364545,95708.4,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,10146171,361,28105.7,28000.0,26720,32224,770.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
