Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.4,4284839423,1,4284839423.0,4284839423.0,4284839423,4284839423,0.0,PushPop,:step:stream #5247 running=4
0.3,3753474288,1,3753474288.0,3753474288.0,3753474288,3753474288,0.0,PushPop,:step:stream #5197 running=4
0.3,3740184470,1,3740184470.0,3740184470.0,3740184470,3740184470,0.0,PushPop,:step:stream #5332 running=4
0.3,3248921326,1,3248921326.0,3248921326.0,3248921326,3248921326,0.0,PushPop,:step:stream #5354 running=4
0.3,3068542679,1,3068542679.0,3068542679.0,3068542679,3068542679,0.0,PushPop,:step:stream #39 running=1
0.2,2670781426,1,2670781426.0,2670781426.0,2670781426,2670781426,0.0,PushPop,:step:stream #11 running=4
0.2,2567618394,1,2567618394.0,2567618394.0,2567618394,2567618394,0.0,PushPop,:step:stream #5306 running=4
0.2,2223244397,1,2223244397.0,2223244397.0,2223244397,2223244397,0.0,PushPop,:step:stream #109 running=1
0.2,1964068064,1,1964068064.0,1964068064.0,1964068064,1964068064,0.0,PushPop,:step:stream #5223 running=4
0.2,1771757814,1,1771757814.0,1771757814.0,1771757814,1771757814,0.0,PushPop,:step:stream #4446 running=3
0.1,1564593388,1,1564593388.0,1564593388.0,1564593388,1564593388,0.0,PushPop,:step:stream #7509 running=1
0.1,1495646193,1,1495646193.0,1495646193.0,1495646193,1495646193,0.0,PushPop,:step:stream #5172 running=4
0.1,1443500044,1,1443500044.0,1443500044.0,1443500044,1443500044,0.0,PushPop,:step:stream #4451 running=4
0.1,1035033951,1,1035033951.0,1035033951.0,1035033951,1035033951,0.0,PushPop,:step:stream #40 running=4
0.1,951066411,1,951066411.0,951066411.0,951066411,951066411,0.0,PushPop,:step:stream #5241 running=4
0.1,783632872,1,783632872.0,783632872.0,783632872,783632872,0.0,PushPop,:step:stream #5328 running=4
0.1,704747752,1,704747752.0,704747752.0,704747752,704747752,0.0,PushPop,:step:stream #5183 running=4
0.1,683750766,1,683750766.0,683750766.0,683750766,683750766,0.0,PushPop,:step:stream #5161 running=4
0.1,666753822,1,666753822.0,666753822.0,666753822,666753822,0.0,PushPop,:step:stream #5264 running=4
0.1,621358280,1,621358280.0,621358280.0,621358280,621358280,0.0,PushPop,:step:stream #5286 running=4
0.1,608888471,1,608888471.0,608888471.0,608888471,608888471,0.0,PushPop,:step:stream #5359 running=4
0.1,572381007,1,572381007.0,572381007.0,572381007,572381007,0.0,PushPop,:step:stream #54 running=1
0.0,504145189,1,504145189.0,504145189.0,504145189,504145189,0.0,PushPop,:step:stream #5288 running=4
0.0,453782337,1,453782337.0,453782337.0,453782337,453782337,0.0,PushPop,:step:stream #5245 running=4
0.0,422743059,1,422743059.0,422743059.0,422743059,422743059,0.0,PushPop,:step:stream #5315 running=4
0.0,340549553,1,340549553.0,340549553.0,340549553,340549553,0.0,PushPop,:step:stream #5228 running=4
0.0,339443173,1,339443173.0,339443173.0,339443173,339443173,0.0,PushPop,:step:stream #5237 running=4
0.0,330511436,1,330511436.0,330511436.0,330511436,330511436,0.0,PushPop,:step:stream #5370 running=4
0.0,328160373,1,328160373.0,328160373.0,328160373,328160373,0.0,PushPop,:step:stream #138 running=3
0.0,314135191,1,314135191.0,314135191.0,314135191,314135191,0.0,PushPop,:step:stream #41 running=4
0.0,301540691,1,301540691.0,301540691.0,301540691,301540691,0.0,PushPop,:step:stream #5377 running=4
0.0,274619795,1,274619795.0,274619795.0,274619795,274619795,0.0,PushPop,:step:stream #3498 running=1
0.0,139663380,1,139663380.0,139663380.0,139663380,139663380,0.0,PushPop,:step:stream #45 running=4
0.0,112494938,1,112494938.0,112494938.0,112494938,112494938,0.0,PushPop,:step:stream #21 running=4
0.0,111615962,1,111615962.0,111615962.0,111615962,111615962,0.0,PushPop,:step:stream #5165 running=4
0.0,109566967,1,109566967.0,109566967.0,109566967,109566967,0.0,PushPop,:step:stream #5295 running=4
0.0,109326982,1,109326982.0,109326982.0,109326982,109326982,0.0,PushPop,:step:stream #5326 running=4
0.0,108429571,1,108429571.0,108429571.0,108429571,108429571,0.0,PushPop,:step:stream #5358 running=4
0.0,107328963,1,107328963.0,107328963.0,107328963,107328963,0.0,PushPop,:step:stream #17 running=4
0.0,105360097,1,105360097.0,105360097.0,105360097,105360097,0.0,PushPop,:step:stream #5319 running=4
0.0,104433188,1,104433188.0,104433188.0,104433188,104433188,0.0,PushPop,:step:stream #5250 running=4
0.0,102975630,1,102975630.0,102975630.0,102975630,102975630,0.0,PushPop,:step:stream #5263 running=4
0.0,97421810,1,97421810.0,97421810.0,97421810,97421810,0.0,PushPop,:step:stream #1 running=1
0.0,95214068,1,95214068.0,95214068.0,95214068,95214068,0.0,PushPop,:step:stream #5175 running=4
0.0,83717181,1,83717181.0,83717181.0,83717181,83717181,0.0,PushPop,:step:stream #5314 running=4
0.0,80415767,1,80415767.0,80415767.0,80415767,80415767,0.0,PushPop,:step:stream #5249 running=4
0.0,80095149,1,80095149.0,80095149.0,80095149,80095149,0.0,PushPop,:step:stream #3305 running=2
0.0,78406957,1,78406957.0,78406957.0,78406957,78406957,0.0,PushPop,:step:stream #118 running=1
0.0,76292377,1,76292377.0,76292377.0,76292377,76292377,0.0,PushPop,:step:stream #5347 running=4
0.0,74490285,1,74490285.0,74490285.0,74490285,74490285,0.0,PushPop,:step:stream #5276 running=4
0.0,67919710,1,67919710.0,67919710.0,67919710,67919710,0.0,PushPop,:step:stream #12 running=4
0.0,59434771,1,59434771.0,59434771.0,59434771,59434771,0.0,PushPop,:step:stream #5260 running=4
0.0,58987238,1,58987238.0,58987238.0,58987238,58987238,0.0,PushPop,:step:stream #5252 running=4
0.0,56580373,1,56580373.0,56580373.0,56580373,56580373,0.0,PushPop,:step:stream #5205 running=4
0.0,56429746,1,56429746.0,56429746.0,56429746,56429746,0.0,PushPop,:step:stream #5171 running=4
0.0,56127585,1,56127585.0,56127585.0,56127585,56127585,0.0,PushPop,:step:stream #5367 running=4
0.0,56103183,1,56103183.0,56103183.0,56103183,56103183,0.0,PushPop,:step:stream #5254 running=4
0.0,55700725,1,55700725.0,55700725.0,55700725,55700725,0.0,PushPop,:step:stream #5208 running=4
0.0,55378574,1,55378574.0,55378574.0,55378574,55378574,0.0,PushPop,:step:stream #5253 running=4
0.0,55276416,1,55276416.0,55276416.0,55276416,55276416,0.0,PushPop,:step:stream #5221 running=4
0.0,54294977,1,54294977.0,54294977.0,54294977,54294977,0.0,PushPop,:step:stream #4450 running=4
0.0,54244840,1,54244840.0,54244840.0,54244840,54244840,0.0,PushPop,:step:stream #5187 running=4
0.0,54173724,1,54173724.0,54173724.0,54173724,54173724,0.0,PushPop,:step:stream #4449 running=4
0.0,54049017,1,54049017.0,54049017.0,54049017,54049017,0.0,PushPop,:step:stream #5251 running=4
0.0,53839815,1,53839815.0,53839815.0,53839815,53839815,0.0,PushPop,:step:stream #48 running=3
0.0,53791671,1,53791671.0,53791671.0,53791671,53791671,0.0,PushPop,:step:stream #5262 running=4
0.0,53774311,1,53774311.0,53774311.0,53774311,53774311,0.0,PushPop,:step:stream #5196 running=4
0.0,53753110,1,53753110.0,53753110.0,53753110,53753110,0.0,PushPop,:step:stream #5177 running=4
0.0,53738166,1,53738166.0,53738166.0,53738166,53738166,0.0,PushPop,:step:stream #5207 running=4
0.0,53221158,1,53221158.0,53221158.0,53221158,53221158,0.0,PushPop,:step:stream #5344 running=4
0.0,53162981,1,53162981.0,53162981.0,53162981,53162981,0.0,PushPop,:step:stream #20 running=4
0.0,52776634,1,52776634.0,52776634.0,52776634,52776634,0.0,PushPop,:step:stream #47 running=3
0.0,52660227,1,52660227.0,52660227.0,52660227,52660227,0.0,PushPop,:step:stream #5218 running=4
0.0,52621717,1,52621717.0,52621717.0,52621717,52621717,0.0,PushPop,:step:stream #5188 running=4
0.0,52546352,1,52546352.0,52546352.0,52546352,52546352,0.0,PushPop,:step:stream #5189 running=4
0.0,52503937,1,52503937.0,52503937.0,52503937,52503937,0.0,PushPop,:step:stream #5271 running=4
0.0,52362957,1,52362957.0,52362957.0,52362957,52362957,0.0,PushPop,:step:stream #5204 running=4
0.0,52344049,1,52344049.0,52344049.0,52344049,52344049,0.0,PushPop,:step:stream #5193 running=4
0.0,52305997,1,52305997.0,52305997.0,52305997,52305997,0.0,PushPop,:step:stream #5273 running=4
0.0,52268434,1,52268434.0,52268434.0,52268434,52268434,0.0,PushPop,:step:stream #5342 running=4
0.0,52164743,1,52164743.0,52164743.0,52164743,52164743,0.0,PushPop,:step:stream #135 running=1
0.0,51873459,1,51873459.0,51873459.0,51873459,51873459,0.0,PushPop,:step:stream #5259 running=4
0.0,51534250,1,51534250.0,51534250.0,51534250,51534250,0.0,PushPop,:step:stream #5366 running=4
0.0,51471470,1,51471470.0,51471470.0,51471470,51471470,0.0,PushPop,:step:stream #5190 running=4
0.0,51153507,1,51153507.0,51153507.0,51153507,51153507,0.0,PushPop,:step:stream #5284 running=4
0.0,51139169,1,51139169.0,51139169.0,51139169,51139169,0.0,PushPop,:step:stream #5321 running=4
0.0,51135176,1,51135176.0,51135176.0,51135176,51135176,0.0,PushPop,:step:stream #5191 running=4
0.0,51015744,1,51015744.0,51015744.0,51015744,51015744,0.0,PushPop,:step:stream #5285 running=4
0.0,50730499,1,50730499.0,50730499.0,50730499,50730499,0.0,PushPop,:step:stream #2 running=1
0.0,50697651,1,50697651.0,50697651.0,50697651,50697651,0.0,PushPop,:step:stream #126 running=1
0.0,50641142,1,50641142.0,50641142.0,50641142,50641142,0.0,PushPop,:step:stream #5369 running=4
0.0,50589907,1,50589907.0,50589907.0,50589907,50589907,0.0,PushPop,:step:stream #5345 running=4
0.0,50516192,1,50516192.0,50516192.0,50516192,50516192,0.0,PushPop,:step:stream #5290 running=4
0.0,50421326,1,50421326.0,50421326.0,50421326,50421326,0.0,PushPop,:step:stream #5275 running=4
0.0,50388791,1,50388791.0,50388791.0,50388791,50388791,0.0,PushPop,:step:stream #5356 running=4
0.0,50272617,1,50272617.0,50272617.0,50272617,50272617,0.0,PushPop,:step:stream #31 running=4
0.0,50251689,1,50251689.0,50251689.0,50251689,50251689,0.0,PushPop,:step:stream #5274 running=4
0.0,50028446,1,50028446.0,50028446.0,50028446,50028446,0.0,PushPop,:step:stream #5195 running=4
0.0,49888393,1,49888393.0,49888393.0,49888393,49888393,0.0,PushPop,:step:stream #5194 running=4
0.0,49731856,1,49731856.0,49731856.0,49731856,49731856,0.0,PushPop,:step:stream #32 running=4
0.0,49686081,1,49686081.0,49686081.0,49686081,49686081,0.0,PushPop,:step:stream #5346 running=4
0.0,49586602,1,49586602.0,49586602.0,49586602,49586602,0.0,PushPop,:step:stream #5209 running=4
0.0,49565976,1,49565976.0,49565976.0,49565976,49565976,0.0,PushPop,:step:stream #5372 running=4
0.0,49540680,1,49540680.0,49540680.0,49540680,49540680,0.0,PushPop,:step:stream #33 running=4
0.0,49327530,1,49327530.0,49327530.0,49327530,49327530,0.0,PushPop,:step:stream #5322 running=4
0.0,49041810,1,49041810.0,49041810.0,49041810,49041810,0.0,PushPop,:step:stream #46 running=4
0.0,49025680,1,49025680.0,49025680.0,49025680,49025680,0.0,PushPop,:step:stream #4 running=1
0.0,48884170,1,48884170.0,48884170.0,48884170,48884170,0.0,PushPop,:step:stream #5 running=1
0.0,48799560,1,48799560.0,48799560.0,48799560,48799560,0.0,PushPop,:step:stream #5298 running=4
0.0,48466462,1,48466462.0,48466462.0,48466462,48466462,0.0,PushPop,:step:stream #14 running=4
0.0,48435696,1,48435696.0,48435696.0,48435696,48435696,0.0,PushPop,:step:stream #3 running=1
0.0,48281971,1,48281971.0,48281971.0,48281971,48281971,0.0,PushPop,:step:stream #5318 running=4
0.0,47964108,1,47964108.0,47964108.0,47964108,47964108,0.0,PushPop,:step:stream #13 running=4
