Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.1,709079699284,7961,89069174.6,2914.0,1958,17394639169,970686729.8,cudaEventSynchronize
18.6,184993246368,166984,1107850.1,5902.0,2690,464848835,18986112.7,cudaLaunchKernel
6.4,63940441335,169713,376756.3,3546.0,2813,2600079562,12911388.6,cudaMemcpyAsync
3.3,32965176051,32457,1015656.9,9424.0,4356,464506225,18290213.3,cuLaunchKernelEx
0.3,2600667284,234,11113962.8,2137.0,867,2600187309,169979427.2,cuKernelGetFunction
0.2,1996935076,15,133129005.1,37105.0,8359,1004778738,351243835.7,cudaHostAlloc
0.1,736990681,802,918941.0,1503.0,495,357581811,17733108.0,cudaEventDestroy
0.0,176266680,112,1573809.6,654291.5,4819,10424641,2040777.4,cudaStreamSynchronize
0.0,100517300,177842,565.2,459.0,253,266466,1057.6,cudaStreamIsCapturing_v10000
0.0,92867633,234,396870.2,7768.5,5419,13570824,1502251.7,cuLaunchKernel
0.0,76328201,8778,8695.4,2139.0,903,4359371,162543.8,cudaEventRecordWithFlags_v11010
0.0,12034053,7,1719150.4,89216.0,46894,11520912,4322284.9,cuModuleLoadData
0.0,1946479,5,389295.8,247993.0,136341,1043826,370303.0,cudaMalloc
0.0,1880137,678,2773.1,2861.5,485,25194,2218.1,cudaEventQuery
0.0,1664706,806,2065.4,2019.5,1008,17844,975.1,cudaEventCreateWithFlags
0.0,1132822,361,3138.0,3047.0,1676,6262,989.8,cudaStreamWaitEvent
0.0,3011,1,3011.0,3011.0,3011,3011,0.0,cuProfilerStart
0.0,1475,1,1475.0,1475.0,1475,1475,0.0,cuLibraryGetKernel
