phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,24,64.51,87.80,80.07,101.29,107.57,107.6
reverse_retrieve,24,34.06,78.40,43.65,87.85,87.85,87.9
